date,signal,event_type,close,sma,sma_long,rsi,ema,ema_long,mom,roc,adx,composite_score,bull_components,total_components,atr,trail_stop,peak_composite,confidence,peak_confidence,effective_risk_fraction,realized_vol
2023-01-03,-1,SELL,123.33065032958984,,,,,,,,,0.0,0,5,,,0.0,0.0,0.0,,
2023-03-01,0,NEUTRAL,143.50794982910156,,,49.03106838180962,142.05555431119583,,1.2246246337890625,0.8606944152507179,59.96415533885987,0.6,3,5,3.280634463069441,,0.6,0.6,0.6,,
2023-03-06,-1,SELL,151.9222869873047,,,63.870932007678604,143.1058589277617,,-0.4290618896484375,-0.2816265775204774,56.3614053677476,0.2,1,5,3.5099590133343375,,0.6,0.2,0.6,,
2023-03-07,0,NEUTRAL,149.71995544433594,,,58.77911094052215,143.48380730013736,,0.1000823974609375,0.0668911124056315,55.285100491482865,0.6,3,5,3.4638212226579097,,0.6,0.6,0.6,,
2023-03-08,-1,SELL,150.9741973876953,,,60.700605012647394,143.91182959085495,,-1.5250701904296875,-1.0000508295217814,54.26261085903138,0.2,1,5,3.3483202173092983,,0.6,0.2,0.6,,
2023-04-10,0,NEUTRAL,160.02059936523438,151.80938018798827,,59.0409229886218,154.23547889582363,,13.362228393554688,9.111125607780668,42.31499630460642,0.6,3,5,3.184092331318628,,0.6,0.5710961822054728,0.6,,
2023-04-13,-1,SELL,163.5068359375,152.87402160644533,,63.643867388708806,155.20643478714618,,12.41412353515625,8.216229186553203,40.247829892259645,0.561058630357848,3,5,3.213333614397817,,0.6,0.5844004093555433,0.6,,
2023-04-21,0,NEUTRAL,162.97352600097656,154.62297912597657,,58.886948186954655,157.82039425029294,,6.0145263671875,3.8319092127373278,39.33862148696202,0.6,3,5,2.839160715026165,,0.6,0.5745986930266545,0.6038710941766192,,
2023-04-27,-1,SELL,166.3214874267578,155.66134063720702,,64.28953229633326,158.97730567285976,,7.545257568359375,4.7521329704631965,38.08320532888641,0.5669803556682484,3,5,2.8653865032717944,,0.6,0.5902241790907536,0.6038710941766192,,
2023-05-03,0,NEUTRAL,165.37338256835938,156.94897033691407,,59.19139311247119,160.58950165230746,,1.7974090576171875,1.0988221674860688,38.11567003152443,0.6,3,5,2.8009855565924577,,0.6,0.6067340012566294,0.6067340012566294,,
2023-05-05,-1,SELL,171.41748046875,157.7597885131836,,67.7365692835677,161.37765917633732,,8.799484252929688,5.411138039882957,37.44110940838093,0.6,3,5,3.2211367209852746,,0.6,0.5771907098594092,0.6067340012566294,,
2023-05-23,0,NEUTRAL,169.66676330566406,163.44274871826173,,55.245755070054294,166.36917619410264,155.03039968198584,7.9277191162109375,4.901549379087955,35.34130718262947,0.8,4,5,2.5812793013041504,,0.8,0.8099293330790496,0.8099293330790496,,
2023-05-26,-1,SELL,173.4940643310547,164.61897033691406,154.0573844909668,63.87664012068171,167.21175368459632,156.10629738033055,5.9183502197265625,3.5317469784402755,33.21076444502275,1.0,5,5,2.523788132723537,,1.0,1.0,1.0,,
2023-05-30,1,BUY,175.34341430664062,165.0642837524414,154.5647915649414,67.2672454572148,167.676420005856,156.53378886758188,7.856597900390625,4.690875418715912,33.23453045015653,1.0,5,5,2.5949962980211256,,1.0,1.0,1.0,,
2023-08-03,2,PARTIAL_EXIT,189.06036376953125,184.81592468261718,173.91870864868164,49.8753727896419,187.79731082575253,176.30513180844318,-0.6329498291015625,-0.33367007887310507,41.395356458985816,0.6,3,5,2.76111744449557,,0.6,0.597526468053321,0.597526468053321,0.01,0.20557387892574747
2023-08-04,-1,SELL,179.98165893554688,185.02222259521486,174.23248565673828,33.207283176322164,187.35070214631222,176.3868324112677,-8.594100952148438,-4.557373098889583,40.0572236618345,0.2,1,5,3.2173190266010545,,0.6,0.20123676597333945,0.597526468053321,0.01,0.20557387892574747
2023-08-30,0,NEUTRAL,185.82981872558594,184.58919860839845,177.68157318115234,59.5641868277473,180.82964906825796,176.6031264996654,-4.625,-2.4283974703017908,27.602382313632596,0.6,3,5,3.325699040765888,,0.6,0.6194477264092508,0.6194477264092508,0.01,0.20557387892574747
2023-09-01,1,BUY,187.62225341796875,184.72527099609374,178.2300077819824,62.11919305658245,181.49893199408555,177.05321072556552,7.640594482421875,4.245207277013741,26.634683539757113,1.0,5,5,3.120295564844416,,1.0,1.0,1.0,0.01,0.20557387892574747
2023-09-06,-1,SELL,181.13580322265625,184.74827789306642,178.70375137329103,48.996059803404144,181.82089646696156,177.37874754549938,3.319976806640625,1.8670873529970544,24.980582631965095,0.6478369264330887,3,5,3.428281701560769,,1.0,0.6460383111895808,1.0,0.01,0.2485712814372173
2023-12-13,1,BUY,196.29808044433594,181.18639404296874,179.93258758544923,69.55229329550234,186.28796426102247,181.0238904242226,10.431671142578125,5.6124563775491465,25.57561152103245,1.0,5,5,2.911755054238715,,1.0,1.0,1.0,0.01,0.2485712814372173
