date,close,rsi,macd,macd_signal,bb_lower,bb_upper,ema,volume,rsi_strength,macd_strength,bb_strength,ema_strength,volume_strength,composite_score,bull_components,bear_components,total_components,signal,confidence,peak_confidence,effective_risk_fraction,realized_vol
2024-09-03,221.738037109375,,,,,,,50190600.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-04,219.82691955566406,,,,,,,43840200.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-05,221.34983825683594,,,,,,,36615400.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-06,219.79705810546875,,,,,,,48423000.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-09,219.8866424560547,,,,,,,67180000.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-10,219.09034729003906,,,,,,,51591000.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-11,221.6285400390625,,,,,,,44587100.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-12,221.738037109375,,,,,,,37455600.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-13,221.46926879882812,,,,,,,36766600.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-16,215.3179168701172,,,,,,,59357400.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-17,215.78570556640625,,,,,,,45519300.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-18,219.6676788330078,,,,,,,59894900.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-19,227.8097686767578,,,,,,,66781300.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-20,227.1428680419922,,,,,,,318679900.0,,,,,,0.0,0,0,5,-1,0.5,0.5,,
2024-09-23,225.4208984375,56.17489884177155,,,,,,54146000.0,0.876502023164569,,,,,0.17530040463291383,1,0,5,-1,0.5876502023164569,0.5876502023164569,,
2024-09-24,226.31671142578125,57.54822094500959,,,,,,43556100.0,0.8490355810998083,,,,,0.16980711621996167,1,0,5,-1,0.5849035581099808,0.5876502023164569,,
2024-09-25,225.3213348388672,55.46828956876853,,,,,,42308700.0,0.8906342086246293,,,,,0.17812684172492588,1,0,5,-1,0.589063420862463,0.589063420862463,,
2024-09-26,226.4660186767578,57.37617519187518,,,,,,36636700.0,0.8524764961624964,,,,,0.1704952992324993,1,0,5,-1,0.5852476496162496,0.589063420862463,,
2024-09-27,226.73475646972656,57.83293118064354,,,,,,34026000.0,0.8433413763871291,,,,,0.16866827527742584,1,0,5,-1,0.5843341376387129,0.589063420862463,,
